server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,21:03:50,21:04:20,51.61,59.63,
server_1,21:04:00,21:04:30,61.61,66.91,
server_1,21:04:10,21:04:40,51.95,61.55,
server_1,21:04:20,21:04:50,45.38,69.46,
server_1,21:04:30,21:05:00,34.41,59.57,
server_1,21:04:40,21:05:10,51.67,49.85,
server_1,21:04:50,21:05:20,44.08,57.47,
server_1,21:05:00,21:05:30,54.20,56.78,
server_1,21:05:10,21:05:40,39.66,63.01,
server_1,21:05:20,21:05:50,56.92,43.26,
server_1,21:05:30,21:06:00,53.22,39.18,
server_1,21:05:40,21:06:10,44.77,51.52,
server_1,21:05:50,21:06:20,47.91,60.48,
server_1,21:06:00,21:06:30,44.41,68.81,
server_1,21:06:10,21:06:40,60.27,52.66,
server_1,21:06:20,21:06:50,50.81,44.39,
server_1,21:06:30,21:07:00,54.89,50.10,
server_1,21:06:40,21:07:10,60.10,49.89,
server_1,21:06:50,21:07:20,62.56,57.30,
server_1,21:07:00,21:07:30,72.39,50.43,
server_1,21:07:10,21:07:40,60.20,60.49,
server_1,21:07:20,21:07:50,65.74,60.94,
server_1,21:07:30,21:08:00,50.27,57.50,
server_1,21:07:40,21:08:10,57.22,56.80,
server_1,21:07:50,21:08:20,55.28,52.25,
server_1,21:08:00,21:08:30,52.67,55.11,
server_1,21:08:10,21:08:40,46.75,54.10,
server_1,21:08:20,21:08:50,33.69,68.19,
server_1,21:08:30,21:09:00,42.50,78.93,
server_1,21:08:40,21:09:10,45.09,71.26,
server_1,21:08:50,21:09:20,48.49,67.39,
server_1,21:09:00,21:09:30,40.87,59.66,
server_1,21:09:10,21:09:40,54.11,67.46,
server_1,21:09:20,21:09:50,73.71,57.85,
server_1,21:09:30,21:10:00,74.47,57.88,
server_1,21:09:40,21:10:10,70.71,56.77,
server_1,21:09:50,21:10:20,67.46,70.24,
server_1,21:10:00,21:10:30,72.91,63.67,
server_1,21:10:10,21:10:40,73.51,59.42,
server_1,21:10:20,21:10:50,66.27,38.72,
server_1,21:10:30,21:11:00,55.93,52.36,
server_1,21:10:40,21:11:10,52.79,57.52,
server_1,21:10:50,21:11:20,48.30,65.92,
server_1,21:11:00,21:11:30,56.68,48.94,
server_1,21:11:10,21:11:40,54.38,49.95,
server_1,21:11:20,21:11:50,54.82,63.42,
server_1,21:11:30,21:12:00,67.11,83.72,Memory saturation suspected
server_1,21:11:40,21:12:10,58.50,85.48,Memory saturation suspected
server_1,21:11:50,21:12:20,65.28,64.84,
server_1,21:12:00,21:12:30,48.39,61.06,
server_1,21:12:10,21:12:40,62.06,50.74,
server_1,21:12:20,21:12:50,61.71,62.13,
server_1,21:12:30,21:13:00,61.46,54.96,
server_1,21:12:40,21:13:10,51.67,53.57,
server_1,21:12:50,21:13:20,47.50,50.74,
server_1,21:13:00,21:13:30,48.37,60.23,
server_1,21:13:10,21:13:40,51.83,64.46,
server_1,21:13:20,21:13:50,48.38,59.65,
server_1,21:13:30,21:14:00,43.54,47.30,
server_1,21:13:40,21:14:10,40.52,45.34,
server_1,21:13:50,21:14:20,45.01,47.81,
server_1,21:14:00,21:14:30,51.68,49.82,
server_1,21:14:10,21:14:40,54.51,55.89,
server_1,21:14:20,21:14:50,61.49,63.76,
server_1,21:14:30,21:15:00,63.03,65.72,
server_1,21:14:40,21:15:10,75.21,70.89,
server_1,21:14:50,21:15:20,60.57,56.27,
server_1,21:15:00,21:15:30,61.98,43.79,
server_1,21:15:10,21:15:40,36.59,36.63,
server_1,21:15:20,21:15:50,56.90,30.97,
server_1,21:15:30,21:16:00,44.27,45.67,
server_1,21:15:40,21:16:10,62.19,45.86,
server_1,21:15:50,21:16:20,43.19,64.71,
server_1,21:16:00,21:16:30,58.00,54.51,
server_1,21:16:10,21:16:40,58.19,39.72,
server_1,21:16:20,21:16:50,59.42,39.66,
server_1,21:16:30,21:17:00,52.16,44.39,
server_1,21:16:40,21:17:10,42.58,52.65,
server_1,21:16:50,21:17:20,48.39,49.95,
server_1,21:17:00,21:17:30,45.85,49.34,
server_1,21:17:10,21:17:40,52.12,55.15,
server_1,21:17:20,21:17:50,47.54,53.05,
server_1,21:17:30,21:18:00,56.63,46.47,
server_1,21:17:40,21:18:10,60.76,35.13,
server_1,21:17:50,21:18:20,70.12,27.85,
server_1,21:18:00,21:18:30,63.31,41.00,
server_1,21:18:10,21:18:40,60.11,56.31,
server_1,21:18:20,21:18:50,51.76,66.71,
server_1,21:18:30,21:19:00,55.04,65.86,
server_1,21:18:40,21:19:10,47.17,56.26,
server_1,21:18:50,21:19:20,49.89,48.29,
server_1,21:19:00,21:19:30,44.46,45.28,
server_1,21:19:10,21:19:40,46.89,50.09,
server_1,21:19:20,21:19:50,42.63,51.75,
server_1,21:19:30,21:20:00,37.26,55.07,
server_1,21:19:40,21:20:10,30.16,46.09,
server_1,21:19:50,21:20:20,25.37,54.60,
server_1,21:20:00,21:20:30,25.35,56.60,
server_1,21:20:10,21:20:40,23.89,66.27,
server_1,21:20:20,21:20:50,38.56,66.97,
server_1,21:20:30,21:21:00,47.05,57.78,
server_1,21:20:40,21:21:10,54.14,55.56,
server_1,21:20:50,21:21:20,41.92,55.01,
server_1,21:21:00,21:21:30,41.76,55.92,
server_1,21:21:10,21:21:40,39.68,51.92,
server_1,21:21:20,21:21:50,39.34,42.85,
server_1,21:21:30,21:22:00,35.35,54.17,
server_1,21:21:40,21:22:10,35.01,47.97,
server_1,21:21:50,21:22:20,49.13,57.57,
server_1,21:22:00,21:22:30,57.49,60.56,
server_1,21:22:10,21:22:40,58.48,66.00,
server_1,21:22:20,21:22:50,51.00,57.49,
server_1,21:22:30,21:23:00,50.81,47.90,
server_1,21:22:40,21:23:10,58.91,58.31,
server_1,21:22:50,21:23:20,59.49,60.96,
server_1,21:23:00,21:23:30,46.99,53.33,
server_1,21:23:10,21:23:40,40.02,42.62,
server_1,21:23:20,21:23:50,34.45,43.09,
server_1,21:23:30,21:24:00,38.79,59.89,
server_1,21:23:40,21:24:10,37.22,70.03,
server_1,21:23:50,21:24:20,41.16,65.69,
server_1,21:24:00,21:24:30,46.33,52.83,
server_1,21:24:10,21:24:40,46.18,37.22,
server_1,21:24:20,21:24:50,41.99,44.23,
server_1,21:24:30,21:25:00,50.76,42.83,
server_1,21:24:40,21:25:10,50.73,48.01,
server_1,21:24:50,21:25:20,58.64,42.92,
server_1,21:25:00,21:25:30,63.44,30.51,
server_1,21:25:10,21:25:40,76.16,32.17,
server_1,21:25:20,21:25:50,73.79,33.07,
server_1,21:25:30,21:26:00,63.67,53.73,
server_1,21:25:40,21:26:10,60.89,52.30,
server_1,21:25:50,21:26:20,64.46,57.22,
server_1,21:26:00,21:26:30,60.11,48.69,
server_1,21:26:10,21:26:40,51.46,51.69,
server_1,21:26:20,21:26:50,54.62,38.38,
server_1,21:26:30,21:27:00,65.28,50.65,
server_1,21:26:40,21:27:10,70.21,51.68,
server_1,21:26:50,21:27:20,62.15,60.11,
server_1,21:27:00,21:27:30,58.52,53.33,
server_1,21:27:10,21:27:40,52.48,57.21,
server_1,21:27:20,21:27:50,49.73,50.08,
server_1,21:27:30,21:28:00,55.57,32.05,
server_1,21:27:40,21:28:10,63.90,41.49,
server_1,21:27:50,21:28:20,72.18,51.43,
server_1,21:28:00,21:28:30,61.91,61.61,
server_1,21:28:10,21:28:40,56.82,49.78,
server_1,21:28:20,21:28:50,48.93,44.80,
server_1,21:28:30,21:29:00,47.76,53.17,
server_1,21:28:40,21:29:10,60.17,61.85,
server_1,21:28:50,21:29:20,67.39,71.86,
server_1,21:29:00,21:29:30,62.80,78.71,
server_1,21:29:10,21:29:40,40.32,71.40,
server_1,21:29:20,21:29:50,32.83,60.99,
server_1,21:29:30,21:30:00,36.95,51.68,
server_1,21:29:40,21:30:10,55.53,44.57,
server_1,21:29:50,21:30:20,53.83,42.24,
server_1,21:30:00,21:30:30,55.76,35.15,
server_1,21:30:10,21:30:40,59.75,36.86,
server_1,21:30:20,21:30:50,51.69,39.46,
server_1,21:30:30,21:31:00,54.86,50.53,
server_1,21:30:40,21:31:10,37.39,45.26,
server_1,21:30:50,21:31:20,44.59,52.28,
server_1,21:31:00,21:31:30,34.69,59.06,
server_1,21:31:10,21:31:40,49.40,76.62,
server_1,21:31:20,21:31:50,53.76,66.72,
server_1,21:31:30,21:32:00,52.60,62.97,
server_1,21:31:40,21:32:10,48.86,56.97,
server_1,21:31:50,21:32:20,51.04,46.53,
server_1,21:32:00,21:32:30,56.13,38.24,
server_1,21:32:10,21:32:40,50.16,30.53,
server_1,21:32:20,21:32:50,53.43,51.21,
server_1,21:32:30,21:33:00,56.53,49.91,
server_1,21:32:40,21:33:10,69.62,39.45,
server_1,21:32:50,21:33:20,69.65,32.80,
server_1,21:33:00,21:33:30,68.71,33.74,
server_1,21:33:10,21:33:40,51.60,45.66,
server_1,21:33:20,21:33:50,44.60,48.29,
server_1,21:33:30,21:34:00,44.00,45.62,
server_1,21:33:40,21:34:10,46.65,46.67,
server_1,21:33:50,21:34:20,49.55,48.79,
server_1,21:34:00,21:34:30,50.55,51.89,
server_1,21:34:10,21:34:40,59.71,44.81,
server_1,21:34:20,21:34:50,65.91,38.31,
server_1,21:34:30,21:35:00,57.10,49.63,
server_1,21:34:40,21:35:10,44.61,65.80,
server_1,21:34:50,21:35:20,23.83,70.41,
server_1,21:35:00,21:35:30,25.31,58.65,
server_1,21:35:10,21:35:40,28.38,47.63,
server_1,21:35:20,21:35:50,36.17,54.76,
server_1,21:35:30,21:36:00,32.43,61.42,
server_1,21:35:40,21:36:10,36.48,63.98,
server_1,21:35:50,21:36:20,53.40,49.50,
server_1,21:36:00,21:36:30,75.07,35.50,
server_1,21:36:10,21:36:40,76.91,39.56,CPU spike suspected
server_1,21:36:20,21:36:50,60.03,50.92,
server_1,21:36:30,21:37:00,45.43,69.87,
server_1,21:36:40,21:37:10,55.09,69.39,
server_1,21:36:50,21:37:20,55.46,68.77,
server_1,21:37:00,21:37:30,41.68,70.55,
server_1,21:37:10,21:37:40,28.73,66.53,
server_1,21:37:20,21:37:50,33.18,58.77,
server_1,21:37:30,21:38:00,50.14,45.12,
server_1,21:37:40,21:38:10,57.22,52.32,
server_1,21:37:50,21:38:20,61.19,48.22,
server_1,21:38:00,21:38:30,57.82,52.90,
server_1,21:38:10,21:38:40,50.19,50.29,
server_1,21:38:20,21:38:50,43.28,51.98,
server_1,21:38:30,21:39:00,36.85,55.77,
server_1,21:38:40,21:39:10,42.77,56.15,
server_1,21:38:50,21:39:20,46.42,60.72,
server_1,21:39:00,21:39:30,53.73,53.38,
server_1,21:39:10,21:39:40,45.53,48.11,
server_1,21:39:20,21:39:50,49.60,62.23,
server_1,21:39:30,21:40:00,53.94,63.93,
server_1,21:39:40,21:40:10,51.37,61.71,
server_1,21:39:50,21:40:20,46.05,60.24,
server_1,21:40:00,21:40:30,45.36,70.73,
server_1,21:40:10,21:40:40,49.40,66.10,
server_1,21:40:20,21:40:50,62.07,42.44,
server_1,21:40:30,21:41:00,54.51,37.55,
server_1,21:40:40,21:41:10,55.05,53.32,
server_1,21:40:50,21:41:20,49.59,56.05,
server_1,21:41:00,21:41:30,52.00,45.15,
server_1,21:41:10,21:41:40,56.85,29.13,
server_1,21:41:20,21:41:50,47.03,33.94,
server_1,21:41:30,21:42:00,40.46,44.89,
server_1,21:41:40,21:42:10,33.70,59.63,
server_1,21:41:50,21:42:20,35.77,62.51,
server_1,21:42:00,21:42:30,35.68,59.24,
server_1,21:42:10,21:42:40,39.24,55.15,
server_1,21:42:20,21:42:50,33.93,49.96,
server_1,21:42:30,21:43:00,38.84,42.99,
server_1,21:42:40,21:43:10,41.08,42.20,
server_1,21:42:50,21:43:20,52.14,39.92,
server_1,21:43:00,21:43:30,46.08,49.16,
server_1,21:43:10,21:43:40,44.33,59.86,
server_1,21:43:20,21:43:50,32.52,71.65,
server_1,21:43:30,21:44:00,43.73,68.40,
server_1,21:43:40,21:44:10,41.55,51.11,
server_1,21:43:50,21:44:20,51.83,44.24,
server_1,21:44:00,21:44:30,46.02,49.69,
server_1,21:44:10,21:44:40,52.98,53.40,
server_1,21:44:20,21:44:50,39.29,56.95,
server_1,21:44:30,21:45:00,43.60,47.26,
server_1,21:44:40,21:45:10,38.88,56.02,
server_1,21:44:50,21:45:20,41.70,51.11,
server_1,21:45:00,21:45:30,41.34,54.26,
server_1,21:45:10,21:45:40,36.81,44.75,
server_1,21:45:20,21:45:50,46.78,41.26,
server_1,21:45:30,21:46:00,51.69,45.48,
server_1,21:45:40,21:46:10,54.38,43.74,
server_1,21:45:50,21:46:20,50.60,49.90,
server_1,21:46:00,21:46:30,55.41,37.19,
server_1,21:46:10,21:46:40,64.76,35.79,
server_1,21:46:20,21:46:50,71.51,39.51,
server_1,21:46:30,21:47:00,58.92,40.10,
server_1,21:46:40,21:47:10,48.89,45.91,
server_1,21:46:50,21:47:20,44.16,44.91,
server_1,21:47:00,21:47:30,57.37,60.82,
server_1,21:47:10,21:47:40,59.53,62.50,
server_1,21:47:20,21:47:50,61.53,64.66,
server_1,21:47:30,21:48:00,50.83,52.41,
server_1,21:47:40,21:48:10,45.49,48.67,
server_1,21:47:50,21:48:20,38.38,38.45,
server_1,21:48:00,21:48:30,38.99,32.48,
server_1,21:48:10,21:48:40,46.47,35.27,
server_1,21:48:20,21:48:50,49.35,39.95,
server_1,21:48:30,21:49:00,63.96,45.80,
server_1,21:48:40,21:49:10,57.84,55.75,
server_1,21:48:50,21:49:20,59.97,55.85,
server_1,21:49:00,21:49:30,41.99,60.77,
server_1,21:49:10,21:49:40,56.91,56.42,
server_1,21:49:20,21:49:50,58.95,63.77,
server_1,21:49:30,21:50:00,74.72,65.79,
server_1,21:49:40,21:50:10,61.94,55.58,
server_1,21:49:50,21:50:20,55.90,46.69,
server_1,21:50:00,21:50:30,36.74,36.51,
server_1,21:50:10,21:50:40,39.34,31.18,
server_1,21:50:20,21:50:50,48.89,40.17,
server_1,21:50:30,21:51:00,49.82,42.57,
server_1,21:50:40,21:51:10,49.86,49.95,
server_1,21:50:50,21:51:20,53.61,39.40,
server_1,21:51:00,21:51:30,46.91,56.07,
server_1,21:51:10,21:51:40,51.62,62.37,
server_1,21:51:20,21:51:50,48.62,68.09,
server_1,21:51:30,21:52:00,59.40,46.78,
server_1,21:51:40,21:52:10,55.79,44.53,
server_1,21:51:50,21:52:20,53.70,50.16,
server_1,21:52:00,21:52:30,61.27,49.18,
server_1,21:52:10,21:52:40,65.12,43.26,
server_1,21:52:20,21:52:50,59.98,46.88,
server_1,21:52:30,21:53:00,56.05,54.38,
server_1,21:52:40,21:53:10,47.41,57.06,
server_1,21:52:50,21:53:20,51.31,53.55,
server_1,21:53:00,21:53:30,52.02,56.14,
server_1,21:53:10,21:53:40,59.12,47.50,
server_1,21:53:20,21:53:50,48.08,37.21,
server_1,21:53:30,21:54:00,52.78,30.11,
server_1,21:53:40,21:54:10,48.53,39.73,
server_1,21:53:50,21:54:20,71.39,45.50,
server_1,21:54:00,21:54:30,68.98,52.78,
server_1,21:54:10,21:54:40,78.44,59.88,CPU spike suspected
server_1,21:54:20,21:54:50,72.02,64.09,
server_1,21:54:30,21:55:00,75.71,57.26,
server_1,21:54:40,21:55:10,63.73,45.81,
server_1,21:54:50,21:55:20,52.99,46.83,
server_1,21:55:00,21:55:30,37.00,54.75,
server_1,21:55:10,21:55:40,44.21,55.45,
server_1,21:55:20,21:55:50,46.42,47.20,
server_1,21:55:30,21:56:00,44.59,51.62,
server_1,21:55:40,21:56:10,40.67,58.04,
server_1,21:55:50,21:56:20,43.90,59.74,
server_1,21:56:00,21:56:30,56.40,55.07,
server_1,21:56:10,21:56:40,65.70,61.02,
server_1,21:56:20,21:56:50,65.61,60.93,
server_1,21:56:30,21:57:00,66.68,59.34,
server_1,21:56:40,21:57:10,55.55,42.95,
server_1,21:56:50,21:57:20,60.02,41.37,
server_1,21:57:00,21:57:30,54.31,40.14,
server_1,21:57:10,21:57:40,48.91,42.01,
server_1,21:57:20,21:57:50,38.03,47.72,
server_1,21:57:30,21:58:00,43.92,42.56,
server_1,21:57:40,21:58:10,49.13,49.57,
server_1,21:57:50,21:58:20,48.13,46.71,
server_1,21:58:00,21:58:30,44.33,44.82,
server_1,21:58:10,21:58:40,51.36,46.61,
server_1,21:58:20,21:58:50,67.79,41.76,
server_1,21:58:30,21:59:00,76.43,55.74,
server_1,21:58:40,21:59:10,73.50,53.28,
server_1,21:58:50,21:59:20,60.13,52.49,
server_1,21:59:00,21:59:30,45.12,55.82,
server_1,21:59:10,21:59:40,39.39,52.39,
server_1,21:59:20,21:59:50,38.36,59.80,
server_1,21:59:30,22:00:00,47.01,47.76,
server_1,21:59:40,22:00:10,48.20,64.15,
server_1,21:59:50,22:00:20,52.68,64.86,
server_1,22:00:00,22:00:30,52.75,63.90,
server_1,22:00:10,22:00:40,45.53,54.78,
server_1,22:00:20,22:00:50,46.29,43.46,
server_1,22:00:30,22:01:00,51.85,54.60,
server_1,22:00:40,22:01:10,56.99,47.24,
server_1,22:00:50,22:01:20,59.87,56.43,
server_1,22:01:00,22:01:30,57.35,49.75,
server_1,22:01:10,22:01:40,63.10,56.76,
server_1,22:01:20,22:01:50,63.35,48.35,
server_1,22:01:30,22:02:00,67.28,60.29,
server_1,22:01:40,22:02:10,64.40,55.70,
server_1,22:01:50,22:02:20,57.14,55.88,
server_1,22:02:00,22:02:30,36.71,43.38,
server_1,22:02:10,22:02:40,41.67,36.06,
server_1,22:02:20,22:02:50,45.58,43.98,
server_1,22:02:30,22:03:00,62.49,37.89,
server_1,22:02:40,22:03:10,66.45,40.60,
server_1,22:02:50,22:03:20,68.19,41.86,
server_1,22:03:00,22:03:30,62.55,49.42,
server_1,22:03:10,22:03:40,59.88,61.72,
server_1,22:03:20,22:03:50,62.06,60.70,
server_1,22:03:30,22:04:00,66.95,59.93,
server_1,22:03:40,22:04:10,50.61,57.66,
server_1,22:03:50,22:04:20,45.63,69.35,
server_1,22:04:00,22:04:30,38.38,78.86,
server_1,22:04:10,22:04:40,45.68,78.99,
server_1,22:04:20,22:04:50,40.36,75.41,
server_1,22:04:30,22:05:00,57.36,66.76,
server_1,22:04:40,22:05:10,61.68,62.20,
server_1,22:04:50,22:05:20,63.08,54.17,
server_1,22:05:00,22:05:30,47.24,60.94,
server_1,22:05:10,22:05:40,45.92,60.90,
server_1,22:05:20,22:05:50,48.30,64.81,
server_1,22:05:30,22:06:00,49.32,69.32,
server_1,22:05:40,22:06:10,46.57,82.67,Memory saturation suspected
server_1,22:05:50,22:06:20,43.77,69.30,
server_1,22:06:00,22:06:30,43.33,54.01,
server_1,22:06:10,22:06:40,48.53,27.48,
server_1,22:06:20,22:06:50,56.05,29.43,
server_1,22:06:30,22:07:00,71.23,31.19,
server_1,22:06:40,22:07:10,70.68,34.58,
server_1,22:06:50,22:07:20,72.57,38.54,
server_1,22:07:00,22:07:30,64.50,45.50,
server_1,22:07:10,22:07:40,50.99,56.14,
server_1,22:07:20,22:07:50,45.03,53.33,
server_1,22:07:30,22:08:00,43.47,40.86,
server_1,22:07:40,22:08:10,61.55,33.30,
server_1,22:07:50,22:08:20,55.31,45.12,
server_1,22:08:00,22:08:30,58.69,46.84,
server_1,22:08:10,22:08:40,61.49,63.35,
server_1,22:08:20,22:08:50,64.12,61.99,
server_1,22:08:30,22:09:00,50.96,62.06,
server_1,22:08:40,22:09:10,46.86,60.16,
server_1,22:08:50,22:09:20,49.48,52.54,
server_1,22:09:00,22:09:30,56.47,54.78,
server_1,22:09:10,22:09:40,50.19,47.78,
server_1,22:09:20,22:09:50,50.90,54.65,
server_1,22:09:30,22:10:00,53.89,50.36,
server_1,22:09:40,22:10:10,56.76,46.95,
server_1,22:09:50,22:10:20,64.05,35.52,
server_1,22:10:00,22:10:30,61.46,43.52,
server_1,22:10:10,22:10:40,66.14,51.00,
server_1,22:10:20,22:10:50,72.01,60.59,
server_1,22:10:30,22:11:00,73.61,59.30,
server_1,22:10:40,22:11:10,66.80,55.77,
server_1,22:10:50,22:11:20,48.26,61.66,
server_1,22:11:00,22:11:30,43.56,59.69,
server_1,22:11:10,22:11:40,40.29,68.50,
server_1,22:11:20,22:11:50,51.77,59.16,
server_1,22:11:30,22:12:00,61.04,52.86,
server_1,22:11:40,22:12:10,61.83,45.65,
server_1,22:11:50,22:12:20,64.78,54.63,
server_1,22:12:00,22:12:30,52.81,54.90,
server_1,22:12:10,22:12:40,56.57,53.97,
server_1,22:12:20,22:12:50,50.52,49.31,
server_1,22:12:30,22:13:00,53.37,55.02,
server_1,22:12:40,22:13:10,49.20,52.54,
server_1,22:12:50,22:13:20,55.18,52.32,
server_1,22:13:00,22:13:30,45.50,57.27,
server_1,22:13:10,22:13:40,47.31,55.89,
server_1,22:13:20,22:13:50,47.53,45.85,
server_1,22:13:30,22:14:00,51.19,50.35,
server_1,22:13:40,22:14:10,57.55,46.01,
server_1,22:13:50,22:14:20,41.41,59.46,
server_1,22:14:00,22:14:30,54.31,46.28,
server_1,22:14:10,22:14:40,62.96,50.55,
server_1,22:14:20,22:14:50,67.64,42.63,
server_1,22:14:30,22:15:00,59.67,41.92,
server_1,22:14:40,22:15:10,47.06,43.42,
server_1,22:14:50,22:15:20,48.19,44.53,
server_1,22:15:00,22:15:30,55.58,56.80,
server_1,22:15:10,22:15:40,51.53,51.52,
server_1,22:15:20,22:15:50,52.08,55.61,
server_1,22:15:30,22:16:00,47.06,63.60,
server_1,22:15:40,22:16:10,49.10,71.77,
server_1,22:15:50,22:16:20,49.67,66.23,
server_1,22:16:00,22:16:30,39.63,57.33,
server_1,22:16:10,22:16:40,36.91,55.53,
server_1,22:16:20,22:16:50,44.73,52.51,
server_1,22:16:30,22:17:00,45.88,49.32,
server_1,22:16:40,22:17:10,51.41,48.15,
server_1,22:16:50,22:17:20,34.07,58.11,
server_1,22:17:00,22:17:30,53.39,51.64,
server_1,22:17:10,22:17:40,65.27,64.32,
server_1,22:17:20,22:17:50,80.31,61.92,CPU spike suspected
server_1,22:17:30,22:18:00,68.54,66.23,
server_1,22:17:40,22:18:10,56.31,53.78,
server_1,22:17:50,22:18:20,51.63,51.15,
server_1,22:18:00,22:18:30,54.60,58.62,
server_1,22:18:10,22:18:40,58.48,65.96,
server_1,22:18:20,22:18:50,51.90,75.40,
server_1,22:18:30,22:19:00,41.61,61.83,
server_1,22:18:40,22:19:10,29.45,47.59,
server_1,22:18:50,22:19:20,26.37,36.47,
server_1,22:19:00,22:19:30,39.51,48.55,
server_1,22:19:10,22:19:40,49.46,63.22,
server_1,22:19:20,22:19:50,66.25,69.60,
server_1,22:19:30,22:20:00,55.46,55.34,
server_1,22:19:40,22:20:10,47.91,54.97,
server_1,22:19:50,22:20:20,42.31,51.23,
server_1,22:20:00,22:20:30,43.03,62.37,
server_1,22:20:10,22:20:40,54.81,64.08,
server_1,22:20:20,22:20:50,52.92,62.01,
server_1,22:20:30,22:21:00,67.21,67.79,
server_1,22:20:40,22:21:10,56.15,67.51,
server_1,22:20:50,22:21:20,50.25,64.86,
server_1,22:21:00,22:21:30,54.98,55.64,
server_1,22:21:10,22:21:40,64.81,39.50,
server_1,22:21:20,22:21:50,66.06,39.16,
server_1,22:21:30,22:22:00,53.43,34.48,
server_1,22:21:40,22:22:10,38.11,43.24,
server_1,22:21:50,22:22:20,51.58,46.44,
server_1,22:22:00,22:22:30,49.83,52.22,
server_1,22:22:10,22:22:40,53.34,59.48,
server_1,22:22:20,22:22:50,38.19,68.17,
server_1,22:22:30,22:23:00,35.70,64.31,
server_1,22:22:40,22:23:10,45.98,57.17,
server_1,22:22:50,22:23:20,42.00,54.48,
server_1,22:23:00,22:23:30,49.79,47.30,
server_1,22:23:10,22:23:40,50.04,48.51,
server_1,22:23:20,22:23:50,72.41,28.14,
server_1,22:23:30,22:24:00,76.28,33.67,
server_1,22:23:40,22:24:10,67.88,26.83,
server_1,22:23:50,22:24:20,47.19,41.86,
server_1,22:24:00,22:24:30,45.11,55.09,
server_1,22:24:10,22:24:40,46.16,56.83,
server_1,22:24:20,22:24:50,47.36,63.34,
